off1,off2,factor,chisqred
90,48,1.3960581520672982e-13,1.920987596608875
85,46,1.3924150085354955e-13,1.9237029143806184
65,72,1.3290847823240066e-13,1.9249217777028322
105,64,1.395941306461988e-13,1.9259839655164432
220,62,1.3332417545559877e-13,1.9293208848470624
105,66,1.3932361726755174e-13,1.9314063443963325
100,72,1.3782413830184056e-13,1.932904219296435
280,52,1.3786519750140102e-13,1.94001844122795
105,62,1.398193429151395e-13,1.9441916712936544
215,58,1.3383599219807921e-13,1.9510482477725437
95,74,1.3686070877130074e-13,1.9554014304304514
290,64,1.3697834970337893e-13,1.9555313337075262
290,66,1.367718771080813e-13,1.9593218168177626
240,44,1.357778582525527e-13,1.9621361373378854
215,50,1.3447117301884016e-13,1.9635776850057323
105,68,1.3899842858810663e-13,1.963606809443306
265,46,1.375063132482504e-13,1.9638947677437837
100,54,1.4010780282940732e-13,1.9639249387684108
245,44,1.360618335562262e-13,1.9646533575378435
75,74,1.3400783421937086e-13,1.9656987119640668
55,70,1.3209880886721761e-13,1.966751232784615
290,62,1.3719365138886935e-13,1.972346009161149
25,46,1.3369920224898195e-13,1.9723648992643137
235,44,1.355176595852728e-13,1.9763902925518892
95,50,1.399282252591024e-13,1.9773241803284796
230,68,1.323853273373293e-13,1.9819420380851933
105,60,1.4001054148102097e-13,1.9834565377692204
290,68,1.3656201482792275e-13,1.9847812341720814
250,44,1.36401054388759e-13,1.9851649732017562
30,44,1.338286515202079e-13,1.9924145662225816
235,70,1.3218921268538682e-13,1.993144456055873
25,58,1.3252135848808207e-13,1.993344015886024
55,42,1.361349932209357e-13,1.9935610681734972
50,42,1.3552441391717353e-13,1.9967654530490149
80,44,1.3880105872866546e-13,1.9977213198266395
230,44,1.3526311266394489e-13,2.0067367831231997
290,60,1.3740797541433492e-13,2.007868358405258
60,42,1.3677482074281354e-13,2.009828231643795
225,66,1.3257128159892357e-13,2.0103723364703003
285,54,1.378630441340075e-13,2.0132852705666036
45,42,1.349219620993857e-13,2.016368619559944
255,44,1.3679422661941467e-13,2.017707956583023
220,46,1.3475386669283867e-13,2.0190455661418607
20,52,1.3338883789679056e-13,2.021899959835391
105,70,1.3860430368880507e-13,2.022081651628423
250,74,1.3239874302478828e-13,2.025489828839653
20,50,1.3352223567227302e-13,2.0308859279235767
290,70,1.3634839753911607e-13,2.033171340141888
275,48,1.3791563073010803e-13,2.0335664968641995
285,74,1.357398288036148e-13,2.037162420167702
215,60,1.334758016511573e-13,2.0398528436610635
35,64,1.3161351503030535e-13,2.0405358629331105
65,42,1.3735837559669136e-13,2.0419587111580153
105,58,1.4013767187052226e-13,2.0429983692955274
40,66,1.3150037826262925e-13,2.0473409103018003
20,54,1.3314385067845666e-13,2.048304718455131
270,46,1.3776164562657923e-13,2.0522204019788193
40,42,1.3445175576466723e-13,2.0522322413248966
240,72,1.3200572095061154e-13,2.055256917713933
215,48,1.3450449221075663e-13,2.056021167494962
280,50,1.3799359824383466e-13,2.058095986156842
290,58,1.3762999574270812e-13,2.060453232775
260,44,1.3717973303665688e-13,2.061573092073473
225,44,1.3500379294435844e-13,2.063614155994629
270,76,1.3398248579744545e-13,2.0638543094512087
275,76,1.345524152000266e-13,2.0661209355062065
