datetime,jd,obs_change,dt_sec,dm,dmerr,N,m,merr,observer,H_alpha,H,RA_deg,DEC_deg,RA_rate,DEC_rate,RA_3sigma,DEC_3sigma,V,r,r_rate,delta,delta_rate,lighttime,alpha,ObsEclLon,ObsEclLat
1992-12-28T05:20:00.000,2448984.722222222,True,2759.9999964237213,-0.049999999999998934,0.03,1,12.55,0.03,Pravec,16.74166503241043,15.48623922321287,127.86665,17.1075,-0.024840944444444447,0.01208203888888889,0.009,0.028,12.36,1.100438407157,13.2011242,0.13185641203826,11.5075265,65.79696,25.8175,125.8518418,-1.7332808
1992-12-28T20:37:00.000,2448985.359027778,True,55020.00001966953,-0.40000000000000036,0.08544003745317531,3,12.15,0.08,Krugly,16.26325797056263,15.040584466228447,127.47794,17.28727,-0.023780833333333334,0.011428666666666667,0.008,0.027,12.41,1.105310326365,13.2927249,0.13610189699027,11.5814958,67.91550000000001,24.7835,125.4478298,-1.649227
1992-12-28T21:01:00.000,2448985.3756944444,False,1439.999994635582,-0.019999999999999574,0.08,1,12.13,0.0,Krugly,16.24122867276623,15.019405628498044,127.46798,17.29184,-0.02375422222222222,0.01141232222222222,0.008,0.027,12.41,1.105438285994,13.2950902,0.13621337806688,11.5834567,67.97112,24.7568,125.4374986,-1.6470914
1992-12-28T22:39:00.000,2448985.44375,True,5880.000011622906,-0.0600000000000005,0.03,1,12.07,0.03,Pravec,16.172954166121777,14.95460878193957,127.42745,17.31045,-0.023646194444444445,0.011345966666666667,0.008,0.027,12.42,1.105961023845,13.3047315,0.136668788582,11.5914771,68.1984,24.6477,125.3954375,-1.638404
1992-12-29T00:08:00.000,2448985.5055555557,False,5340.000003576279,-0.030000000000001137,0.042426406871192854,1,12.04,0.03,Pravec,16.13545590309859,14.920263429802068,127.39079,17.32725,-0.023548888888888887,0.011286227777777777,0.008,0.027,12.42,1.106436083052,13.313464,0.13708264920835,11.5987796,68.40492,24.5489,125.3574114,-1.6305599
1992-12-29T00:19:00.000,2448985.5131944446,True,660.0000008940697,0.02000000000000135,0.05,5,12.06,0.04,Krugly,16.154530226781823,14.939727317586204,127.38627,17.32932,-0.023536916666666668,0.011278880555555554,0.008,0.027,12.42,1.106494819865,13.3145417,0.13713381863302,11.5996834,68.43042,24.5367,125.3527229,-1.6295934
1992-12-29T00:33:00.000,2448985.5229166667,True,839.9999901652336,0.16999999999999993,0.15524174696260024,1,12.23,0.15,Hudecek,16.323352434586752,15.10904453882261,127.38053,17.33196,-0.023521666666666666,0.01126953611111111,0.008,0.027,12.42,1.106569582684,13.3159129,0.13719894912317,11.6008341,68.46294,24.5212,125.3467592,-1.6283643
1992-12-29T01:34:00.000,2448985.5652777776,True,3659.9999830126762,-0.2400000000000002,0.15297058540778355,5,11.99,0.03,Krugly,16.078225078419674,14.866073873379715,127.35552,17.3434,-0.023455555555555556,0.011228975,0.008,0.027,12.42,1.106895424759,13.3218809,0.13748280744001,11.6058531,68.6046,24.4537,125.3208216,-1.6230211
1992-12-29T01:49:00.000,2448985.5756944446,True,900.0000268220901,-0.040000000000000924,0.042426406871192854,1,11.95,0.03,Pravec,16.036965360440014,14.825344788243502,127.34938,17.34621,-0.02343936111111111,0.011219036111111112,0.008,0.027,12.42,1.106975572217,13.3233468,0.13755262748778,11.6070885,68.63940000000001,24.4371,125.3144551,-1.6217103
1992-12-29T02:33:00.000,2448985.60625,True,2640.0000035762787,0.05000000000000071,0.03605551275463989,5,12.0,0.02,Krugly,16.083272702858842,14.873209430876141,127.33139,17.35444,-0.023391944444444444,0.01118996111111111,0.008,0.027,12.43,1.107210722269,13.3276432,0.13775747585927,11.6107155,68.74164,24.3884,125.2958065,-1.6178722
1992-12-29T02:35:00.000,2448985.607638889,True,119.99999284744263,0.02999999999999936,0.03605551275463989,1,12.03,0.03,Pravec,16.113104943810054,14.903112042047683,127.33057,17.35481,-0.023389777777777777,0.011188641666666667,0.008,0.027,12.43,1.107221412708,13.3278383,0.13776678866965,11.6108805,68.74626,24.3862,125.2949598,-1.617698
1992-12-29T03:24:00.000,2448985.6416666666,True,2939.9999856948853,-0.049999999999998934,0.042426406871192854,5,11.98,0.03,Krugly,16.058997259753433,14.850735368692396,127.31059,17.36395,-0.023337194444444445,0.011156408333333333,0.008,0.027,12.43,1.107483377352,13.3326163,0.13799499389641,11.614925,68.86014,24.3321,125.2742401,-1.6134365
1992-12-29T03:37:00.000,2448985.6506944443,True,779.9999937415123,-0.009999999999999787,0.03605551275463989,1,11.97,0.02,Pravec,16.047908243160244,14.840104076801927,127.30529,17.36636,-0.02332327777777778,0.011147883333333332,0.008,0.027,12.43,1.10755289393,13.3338828,0.13805555148775,11.615999,68.89038000000001,24.3178,125.2687512,-1.6123081
